timestamp,name,text,intent
02:28:54,<MacTed>,MacTed has joined #rdf-wg,other
05:17:45,<mbrunati>,mbrunati has joined #rdf-wg,other
05:21:57,<mbrunati>,mbrunati has joined #rdf-wg,other
05:22:16,<mbrunati>,mbrunati has left #rdf-wg,other
06:21:58,<pgroth>,pgroth has joined #rdf-wg,other
06:47:46,<pgroth_>,pgroth_ has joined #rdf-wg,other
06:51:46,<tomlurge>,tomlurge has joined #rdf-wg,other
07:11:44,<danbri>,danbri has joined #rdf-wg,other
07:13:25,<OlivierCorby>,OlivierCorby has joined #rdf-wg,other
07:18:50,<FabGandon>,FabGandon has joined #rdf-wg,other
07:20:56,<ivan>,ivan has joined #rdf-wg,other
07:21:03,<tomayac>,tomayac has joined #rdf-wg,other
07:21:55,<tomayac>,bonjour monsieur!,greet
07:24:23,<pgroth>,pgroth has joined #rdf-wg,other
07:30:32,<AZ>,AZ has joined #rdf-wg,other
07:31:34,<mbrunati>,mbrunati has joined #rdf-wg,other
07:32:13,<pchampin>,pchampin has joined #rdf-wg,other
07:33:17,"<tomayac> \""the conference is restricted at this time\"" =>",have the dial-in details changed? using rdfwg1# code,ask
07:34:05,<FabGandon>,should work but we haven't called yet and a number of participants are still missing in the room,explain
07:34:26,<tomayac>, 9:30 sharp-ish ;-),explain
07:34:27,<PatH>,PatH has joined #rdf-wg,other
07:39:52,<Guus>,Guus has joined #rdf-wg,other
07:40:04,<SteveH>,SteveH has joined #rdf-wg,other
07:40:19,<Steven_>,Steven_ has joined #rdf-wg,other
07:40:29,<Steven_>,"zakim, list",other
07:40:29,<Zakim>,I see SW_RDFWG(RDFWG1)2:00AM active and no others scheduled to start in the next 15 minutes,explain
07:40:43,<mischat>,mischat has joined #rdf-wg,other
07:40:49,<FabGandon>,we will have to do an adhoc teleconf the teleconf chanel is not available for today,explain
07:41:10,<pfps>,pfps has joined #rdf-wg,other
07:41:13,<Steven_>,"zakim, code?",ask
07:41:13,<Zakim>,"the conference code is 733941 (tel:+1.617.761.6200 tel:+33.4.26.46.79.03 tel:+44.203.318.0479), Steven_",explain
07:41:38,<FabGandon>,trying again...,other
07:41:39,<cmatheus>,cmatheus has joined #rdf-wg,other
07:41:40,<Steven_>,"zakim, who is on the call?",ask
07:41:40,<Zakim>,"On the phone I see OlivierCorby, OlivierCorby.a, OlivierCorby.aa, OlivierCorby.aaa",explain
07:41:41,<cygri>,cygri has joined #rdf-wg,other
07:41:55,<davidwood>,davidwood has joined #rdf-wg,other
07:42:13,<PatH>,Same message here,explain
07:42:23,<tomayac>,same here,explain
07:42:45,<davidwood>,We're working on it - please stand by,propose
07:42:56,<Steven_>,"zakim, room for 15 for 600 minutes?",ask
07:42:58,<Zakim>,"ok, Steven_; conference Team_(rdf-wg)07:42Z scheduled with code 26631 (CONF1) for 600 minutes until 1742Z",other
07:43:06,<davidwood>,We'll announce a new dial in code shortly,explain
07:43:12,<FabGandon>,dial 26631,explain
07:43:18,<davidwood>,PLEASE USE CONFERENCE CODE 26631,explain
07:43:35,<Steven_>,Steven_ has changed the topic to: CODE is 26631,other
07:43:41,<davidwood>,Sorry for the confusion.  Our bridge was not configured as we expected.,explain
07:44:04,<Steven_>,"zakim, who is on the call?",ask
07:44:04,<Zakim>,"On the phone I see OlivierCorby, OlivierCorby.a, OlivierCorby.aa, OlivierCorby.aaa",explain
07:44:21,<NickH>,Good Morning!,greet
07:44:25,<Steven_>,"zakim, this is rdf-wg",greet
07:44:25,<Zakim>,"Steven_, this was SW_RDFWG(RDFWG1)2:00AM",other
07:44:27,<Zakim>,"ok, Steven_; that matches Team_(rdf-wg)07:42Z",other
07:44:33,<Steven_>,"zakim, who is on the call?",ask
07:44:34,<Zakim>,"On the phone I see Meeting_Room, PatH, tomayac, OlivierCorby",
07:44:40,<OlivierCorby>,"Hi, phone is ok now",
07:44:48,<Zakim>,+AZ,
07:45:46,<PatH>,Sound quality is rather poor today ,
07:45:50,<FabGandon>,scribe: Fabien,
07:46:31,<gavinc>,gavinc has joined #rdf-wg,
07:46:40,<FabGandon>,guus: identifying the 4 issues to be discussed,
07:46:50,<Steven>,"30, 31, 15",
07:46:51,<FabGandon>,... 5 30 31 and 15,
07:46:57,<gavinc>,"zakim, the code is?",
07:46:57,<Zakim>,"I don't understand your question, gavinc.",
07:47:01,<JFB>,JFB has joined #rdf-wg,
07:47:03,<Steven>,"zakim, code?",
07:47:03,<Zakim>,"the conference code is 26631 (tel:+1.617.761.6200 tel:+33.4.26.46.79.03 tel:+44.203.318.0479), Steven",
07:47:32,<FabGandon>,cygri: 31 is a bit out of the list,
07:47:52,<mischat>,http://www.w3.org/2011/rdf-wg/track/issues/30,
07:48:06,<FabGandon>,davidwood: sugest we start with issue 30,
07:48:06,<Zakim>,+gavinc,
07:48:07,<FabGandon>,"Topic: Four issues of \""Named Graphs\"".",
07:48:08,<FabGandon>,subtopic: Aligning SPARQL notions and RDF 1.1 g-* notions.,
07:48:18,<FabGandon>,  ISSUE-30: How does SPARQL's notion of RDF dataset relate our notion of multiple graphs?,
07:48:18,<trackbot>,ISSUE-30 How does SPARQL's notion of RDF dataset relate our notion of multiple graphs? notes added,
07:48:20,<Steven>,s/sugest/suggest/,
07:49:47,<mischat>,http://www.w3.org/TR/rdf-sparql-query/#rdfDataset <-- sparql dataset as per rdf sparql query 1.0,
07:50:23 <FabGandon>   Cygri : SPARQL defines Dataset as data data model used in SPARQL query i.e. collection of graph = one default graph and a set of named graphs,"<IRI,Graph>", ,
07:50:33,<tomayac>,"AZ: +1, sound is low quality :-(",
